,anime_id,title,synopsis,genres,score,synopsis_word_count
9100,38198,Nanatsu no Taizai: Eiyuu-tachi wa Hashagu,OVA bundled with the 34th volume of the manga.,Action|Adventure|Fantasy|Supernatural|Shounen,7.12,9
9116,30991,Himouto! Umaru-chan OVA,Episodes included in the manga's seventh and tenth volumes.,Comedy|Slice of Life|School|Seinen,7.25,9
9122,9342,Twinkle Nora Rock Me!,"Based on a 1980 manga by Mikuriya Satomi, this adaptation differs considerably from the original. The story started in its prequel was completed with this second OVA.",Action|Sci-Fi,2.86,27
9136,32553,Nisekoi: OVA,Bundled with the 21st volume of the manga.,Comedy|Romance|Harem|Parody|Shounen,7.07,8
9143,9202,Seikon no Qwaser: Jotei no Shouzou,"Based on Ekaterina Kurae's chapter 16 from the manga, and episode 10.5 of the anime.",Action|Supernatural|Ecchi|Super Power|Seinen,6.42,15
9168,4195,Kodomo no Jikan Ni Gakki,The second season of Kodomo no Jikan.,Comedy|Ecchi|School,7.07,7
9173,30583,Futa-bu! Mix: Futanari World,Sequel to Futabu!! Based on the adult doujin by BOSSHI.,Girls Love|Erotica|Hentai|School,6.74,10
9174,20449,"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru",The 13th episode of the TV anime bundled with the special limited first edition of the 7th manga volume.,Comedy|Slice of Life|School,6.98,19
9176,24227,Nisekoi OVA,"Episodes released on DVDs bundled with the 14th, 16th, and 17th volumes of the manga.",Comedy|Romance|Harem|School|Shounen,7.39,15
9195,14027,Boku wa Tomodachi ga Sukunai: Relay Shousetsu wa Ketsumatsu ga Hanpanai,Unaired 13th episode of Boku wa Tomodachi ga Sukunai.,Comedy|Romance|Slice of Life|Harem|School,7.06,9
9198,8460,Mirai Nikki,A short OVA that was bundled with the limited edition of the eleventh volume of the manga.,Action|Supernatural|Shounen,7.26,17
9200,20655,Amnesia OVA,Animate Tokuten for purchasing all 6 volumes of TV Anime Series.  The contents of the OVA are from the Drama CDs.,Fantasy|Harem|Josei|Shoujo,6.39,21
9206,33950,Black Clover: Jump Festa 2016 Special,An OVA episode bundled with the 11th manga volume.,Action|Comedy|Fantasy|Shounen,6.77,9
9222,36560,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken OVA,Bundled with the limited edition sixth manga volume.,Comedy|Romance|Ecchi|School,6.39,8
9227,9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,The sequel to Saint Seiya: The Lost Canvas - Meiou Shinwa.,Action|Adventure|Supernatural|Martial Arts|Super Power|Shounen,8.08,11
9228,31868,Bug tte Honey: Megarom Shoujo Mai 4622,Movie of the .,Adventure|Comedy,,4
9230,12901,TWD Express Rolling Takeoff,"Based on a manga by Hijiri Yuki, serialised in Comic Nora.  Note: Shown in theaters as a double bill with the anime feature MAPS: Densetsu no Samayoeru Seijin-tachi.",Adventure|Sci-Fi,,28
9247,34261,Kai: Geoul Hosu-ui Jeonseol,An adaptation of Hans Christian Andersen's in a central Asian setting,Adventure|Fantasy,,11
9249,39361,Tetsuwan Atom to Sagurou! Dosei wo Mawaru Shinpi no Hoshi Titan,Another planetarium film.,Sci-Fi|Mecha|Space|Kids,,3
9251,30960,Shou-chan Sora wo Tobu,An anime version of Ikkei Makina's horror novel of the same name. It aired at the same time as the live-action adaptation.,Horror|Sci-Fi,,22
9260,44775,I Wanna Be Your Friend,"An award-winning short film following a claymation figure trying to befriend others. As stated in the video's official synopsis, ""For friendship it is the most important to be cooperative.""",Comedy,,29
9267,33116,Mori no Ongakutai,"A puppet animation adaptation of the Grimm fairy-tale ""Town Musicians of Bremen"".",Fantasy|Kids,,12
9272,43614,Lata Dawang Qiyu Ji (Movie),Movie version of .,Kids,,4
9273,41797,Kangaeru Jikan,A short rotoscope film by Mika Seike.,Avant Garde|Music,,7
9274,34717,Warau Tsuki,A play on the ancient Chinese puzzle of tangram.,Kids,,9
9277,49366,Hyaku,Independent short film directed by Yusuke Hiroshima (also known as mebae) in 2005.,Fantasy,,13
9283,49402,Koukaku Kidoutai: SAC_2045 - Jizoku Kanou Sensou,Compilation film of with new scenes.,Action|Sci-Fi|Mecha|Military|Police|Seinen,,6
9293,39279,Human Orchestra,"Short film by Takashi Ohashi, visually syncopating music by Onishi Yoshito.",Music,,11
9302,39931,Santa Company: Christmas no Himitsu,A feature-length version of the short anime film .,Fantasy,,9
9303,32224,Mako-chan no Koutsuu Anzen,An educational film about traffic safety.,Drama|Kids,,6
9307,33662,Taka no Tsume 8: Yoshida-kun no Batten File,The eighth film in the film series.,Comedy|Sci-Fi|Supernatural|Parody,,7
9313,34946,Yuki no Joou,A stop-motion adaptation of Hans Christian Andersen's .,Fantasy,,8
9325,32225,Onpu,An educational film about rhythm and tempo.,Music|Kids,,7
9326,13819,Kamiusagi Rope 2,The sequel to Kamiusagi Rope; it also aired in between commercials at theaters.,Comedy|Slice of Life,,13
9330,50275,Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,Second movie.,Action|Adventure|Fantasy|Romance|Game,,2
9332,42750,Kono Sekai no Tanoshimikata: Secret Story Film,"An anime movie based on HoneyWorks' LIPxLIP virtual idol unit, commemorating the music circle's 10th anniversary.",Music,,16
9338,40728,Bijutsu Kyouiku,"An early graduation silent short film by Megumi Ishitani, depicting the conflict between two artists and their mentees.",Comedy|Drama|Romance,,18
9340,40164,Hana (2006),Kenji Kawasaki's first film.,Avant Garde|Drama|Music,,4
9343,33607,Kahei no Umi,Biopic of Takadaya Kahei.,Historical,,4
9351,48903,Dragon Ball Super: Super Hero,Sequel movie to .,Action|Adventure|Fantasy|Martial Arts|Super Power|Shounen,,4
9353,51194,Huyao Xiao Hongniang Movie: Xia Sha,Movie version of .,Comedy|Romance|Supernatural|Historical,,4
9358,29669,Ten,Independent animation by Suzuki Shiniichi (鈴木伸一).,Avant Garde,,6
9361,35520,Geisters Movie: Hikari no Shou,Recap of the first half of the TV series.,Action|Sci-Fi|Military,,9
9362,19907,Ecchan no Sensou,Based on a children's novel by Etsuko Kishikawa.,Drama|Historical,,8
9370,41814,Soukyuu no Fafner: Dead Aggressor - The Beyond Part 4,Episodes 10-12 of the series.,Action|Drama|Sci-Fi|Mecha|Military,,5
9373,43556,Tsurune: Kazemai Koukou Kyuudoubu Movie,Movie adaptation of .,Drama|Sports|School,,4
9375,42296,Fushigi Dagashiya: Zenitendou Movie - Tsuri Taiyaki,The movie will adapt the first volume following an eight-year-old boy Keiji getting a mysterious snack that can make him fish taiyaki (Japanese fish-shaped cake).,Mystery|Kids,,25
9393,34162,Minikui Ahiru no Ko,An stop-motion puppet animation adaptation of Hans Christian Andersen story.,Kids,,10
9403,42277,Yellow Fish,A chaotic psychedelic animation is collocated with images of the sea of ​​clouds seen from the mountaintop and the candles of a Tibetan temple.,Avant Garde,,24
9404,42257,Gavora,A psychedelic short film by Nobuhiro Aihara.,Avant Garde|Music,,7
9406,48624,Re:cycle of the Penguindrum,"Compilation of , including new scenes.",Avant Garde|Comedy|Drama|Mystery|Psychological,,6
9407,48968,"Popping, Mixing",A short film by Ryoji Yamada.,Avant Garde,,6
9408,49422,Tenma no Torayan,A short puppet animation directed by Takeo Nakamura.,Historical,,8
9409,8357,Himitsukessha Taka no Tsume The Movie 3: http://takanotsume.jp wa Eien ni,The third Eagle Talon movie.,Comedy|Parody|Super Power,,5
9411,39412,Bakutsuri Bar Hunter Movie: Nazo no Barcode Trial! Bakutsure! Shinkaigyo Poseidon,"Movie of , screened via Toei Manga Matsuri.",Adventure|Kids,,8
9413,33115,Kutsuya to Kobito,"A puppet animation adaptation of the Grimm fairy tale ""The Elves and the Shoemaker.""",Fantasy|Kids,,14
9423,19909,Pipi Tobenai Hotaru,Based on the fairy tale novel series by Akira Ozawa (小沢昭巳).,Drama|Fantasy,,11
9429,32621,Pokopon no Yukai na Saiyuuki,Pokopon version of Journey to the West.,Adventure|Fantasy|Martial Arts|Kids,,7
9434,48646,Houkago,A film by Kei Oyama about junior high students.,Slice of Life,,9
9447,29985,Kamen no Marionette-tachi,"Screened at the 1st Sogetsu Animation Festival in 1965, the film was made in 35mm using the animation equipment owned by animator Yoji Kuri.",Avant Garde,,24
9451,5922,Tenjouhen: Utsunomiko,Prequel of Utsunomiko.,Adventure|Fantasy|Demons,,3
9453,41289,Saezuru Tori wa Habatakanai: The Storm Breaks,Second movie of .,Boys Love|Drama|Erotica,,4
9458,41489,It's Marey O'Clock Now!,Title animation for mareykrap's first solo exhibition .,Avant Garde,,8
9469,33343,Omusubi Kororin,A Japanese folk tale adapted as a puppet animation.,Fantasy|Kids,,9
9472,29796,Oshizuka ni,A short film by Okamoto Tadanari.,Kids,,6
9474,48896,Overlord Movie 3: Sei Oukoku-hen,New film.,Action|Fantasy|Supernatural|Game,,2
9475,33485,Naita Aka Oni,"An adaptation of the classic Japanese ""Red Oni, Blue Oni"" tale.",Demons|Kids,,11
9481,48972,Yume Utsutsu (2010),A short animation by Ryoji Yamada combining dreams and pictures.,Avant Garde,,10
9486,42234,Ringo to Shoujo,A short film by Nobuhiro Aihara where he projects abstract animation onto various surfaces of an old building.,Avant Garde,,18
9489,48961,Joint,"An event that happens to a man based on growth, psychology, egoism, and shamanism. Short animation by Ryoji Yamada at Tama Art University.",Avant Garde,,23
9492,48313,11-gatsu Umare no Otokonoko no Tame ni.,"A short stop motion animation from Takeshi Yashiro, in which a small surprise is given to a boy on the morning of the first snow.",Slice of Life,,25
9493,10943,Tsuyoshi Shikkari Shinasai: Tsuyoshi no Time Machine de Shikkari Shinasai,Tsuyoshi Shikkari Shinasai movie.,Comedy|Drama|Romance|Slice of Life|School|Shounen,,4
9494,33342,Ari to Kirigirisu,Puppet animated film based on the Aesop fable of the same name.,Music|Kids,,12
9496,36734,(a long day of) Mr. Calpaccio,An experimental work created by UrumaDelvi in 2005 and screened at several film festivals. The UrumaDelvi and Productions Inc. company later released it on DVD in 2006.,Avant Garde,,27
9497,29918,Go-hiki no Kozaru-tachi,A short puppet animation movie by Tadahito Mochinaga.,Demons,,8
9505,38375,Port of Wormy,A surreal short created by Mirai Mizue.,Avant Garde,,7
9507,15393,Sakura no Ondo,Original animated movie by ufotable. Screened at the studio's cinema and at the Sapporo short film festival.,Drama,,17
9510,43385,Around the World!,Naoki Yoshibe's graduation work.,Avant Garde,,4
9511,42585,Black Cat,A short film by Keiichi Tanaami featuring the song by Maki Asakawa.,Avant Garde|Music,,12
9513,49332,The Dawn of Ape,"Here is the world's first animation made to be watched by chimpanzees. Just for this once, we will show it to you humans.",Avant Garde,,23
9518,49474,Yama,"Short film directed by Kenji Iwaisawa, adapted from the manga of Hiroyuki Ohashi.",Slice of Life,,13
9527,29929,Tsuru no Ongaeshi,A puppet animation movie by Kazuhiko Watanabe.,Kids,,7
9529,30150,Kamiusagi Rope 3,3rd season of Kamiusagi Rope.,Comedy|Slice of Life,,5
9530,34815,Ningyohime,A stop-motion film adaptation of Hans Christian Andersen's .,Fantasy|Kids,,9
9532,22979,Magical★Taruruuto-kun: Sukisuki Takoyaki!,The third movie of Magical Taruruuto-kun,Adventure|Comedy|Fantasy|Ecchi|School,,6
9533,35521,Geisters Movie: Inochi no Shou,Recap of the second half of the TV series.,Action|Sci-Fi|Military,,9
9553,42247,Oumagatoki,A psychedelic short film by Nobuhiro Aihara.,Avant Garde|Music,,7
9561,47777,Toku: Touken Ranbu - Hanamaru - Setsugetsuka,anime movie trilogy.,Action|Comedy|Drama|Fantasy|Slice of Life|Historical,,3
9568,34763,Kine-Pass Gekijou,"The T-Joy theater chain will also screen three ""Kine-Pass Gekijou"" (Kine-Pass Theater) commercials to promote its Kine-Pass ticket sales app using the chibified characters.",Comedy|Parody,,24
9578,49029,Under the Sun,"Regarded as a creative extension of Stone, animation unfolds on a drawing paper placed on a field and farm.",Avant Garde|Music,,19
9579,51051,Dreamland,"Short animation from Mirai Mizue. Simple rectilinear figures assemble into surprisingly complex ""cities"" that pulse along to Scarlatti Goes Electro's hyperkinetic score.",Avant Garde|Music,,22
9580,39273,Channeler,"Abstract animated short film by Takashi Ohashi, visually syncing Japanese hip-hop with with a variety of symbols and shapes.",Music,,19
9584,50970,Bukusuta The World,Anime adaptation of Pop Team Epic creator Bkub Okawa's four-panel spinoff manga. Shorts will screen with the film and the short will change each week.,Comedy|Music,,25
9586,50191,"Youkai Watch ♪ Movie 7: Keita to Orecchi no Deai Hen da Nyan ♪ Wa, Watakushi mo ♪♪",A compilation film with new added scenes.,Comedy|Supernatural|Demons|Kids,,7
9593,50415,Kowarekake no Orgel: Manner Movie,"A short manner movie where Flower explains that it's illegal to record movies from the cinema with a handycam, etc...",Comedy,,20
9594,38703,Koukou,"""Koukou"" is a work of abstract animation synchronized with a callisthenic song comprised of the unique syllabic sounds of the Japanese language, without actually using any full words.",Music,,28
9601,48573,Uta no☆Prince-sama♪ Movie: Maji Love ST☆RISH Tours,The first installment of the new original film series.,Comedy|Romance|Harem|Music|Shoujo,,9
9602,32622,Hello Kitty no Oyayubi-hime,A theatrical version of Thumbelina.,Adventure|Fantasy|Kids,,5
9603,32623,Kasa Jizou,An adaptation of the Kasa Jizou folktale where Jizou statues reward an elderly couple for giving them hats (kasa) to wear during the snowy weather.,Fantasy|Historical,,25
9612,35090,Oyayubi-hime,A stop-motion puppet animation adaptation of Hans Christian Anderson's .,Fantasy|Kids,,10
9616,29719,Maze Maze Wien,"An independent film by Yonesho Maya using her unique style of combining card-sized drawings and stop motion animation that walks the viewer through real locales, in this case, Vienna.",Avant Garde,,29
9620,48960,Hunter,Hunter is looking for Gossip every night. A short animated film by Ryoji Yamada.,Avant Garde|Horror|Psychological,,14
9632,42271,Line,The scenery of the stream in the forest and the Kamogawa flowing through the city of Kyoto and the abstract animation inspired by it are juxtaposed.,Avant Garde,,26
9636,32693,Kitakaze to Taiyou,"A short film released by Gakken. It is based on the Aesop's Fable ""The North Wind and the Sun.""",Kids,,19
9638,33895,Kimi Shitteru? Shuto Enjou Anime Tokyo Dai Kuushuu,"An anime based on the testimony of three survivors of the devastation from the Operation Meetinghouse air raid on Tokyo which caused over 100,000 deaths.",Drama|Historical,,25
9641,29917,Uriko-hime to Amanojaku,A short puppet animation movie by Tadahito Mochinaga.,Demons,,8
9643,48970,Uranof,Short animation by Ryoji Yamada with the music of Takuya Sugiyama.,Avant Garde,,11
9644,8355,Himitsukessha Taka no Tsume The Movie 1: Soutou wa Nido Shinu,The first Eagle Talon movie.,Comedy|Parody|Super Power,,5
9655,42280,Lotus,Vividly colored psychedelic animation.,Avant Garde,,4
9667,43196,Luotuo Xian Wu,This animation was inspired by Aesop's Fables. It is about about a camel who thinks he is clever and shows his awkward dancing in front of other animals.,Fantasy,,28
9670,24981,Yowamushi Chinsengumi,"The short is the third Hana Yori Dango short about Dangonosuke the samurai boy. In the story, Dangonosuke rescues a woman captured by bandits.",Comedy|Kids,,24
9671,40674,Nantoka Tengoku,Anthology film by animation collective G9+1 about various interpretations of heaven.,Avant Garde,,11
9680,42279,Wind,"Beginning with a photograph of a pinhole camera by photographer Yoshiyasu Suzuka, a detailed abstract animation develops in a jet-black space.",Avant Garde,,21
9686,49369,Shinkai no Survival!,Second movie of learning manga.,Action|Comedy|Shounen,,5
9697,37386,Calicula Machine,A short film made for international festivals by Kinoshita Renzo in 1974~1976.,Avant Garde,,12
9698,48830,Free! Movie 5: The Final Stroke - Kouhen,The second part of the movies.,Comedy|Drama|Slice of Life|Sports|School,,6
9701,39167,Girls & Panzer: Saishuushou Part 4,The fourth film in the six-part film series.,Military|School,,8
9704,49091,Rock'n Roll Sentou,An early short film by Ryoji Yamada.,Comedy,,7
9712,49827,Mobile Suit Gundam: Cucuruz Doan's Island,Based on the 15th episode of the original series,Mecha,,9
9715,51048,Imagination of Marathon Runners,A comedic short film by Yoji Kuri about runners.,Comedy|Sports,,9
9727,22981,Magical★Taruruuto-kun: Moeru! Yuujou no Mahou Taisen,Second movie of Magical Taruruuto-kun,Adventure|Comedy|Fantasy|Ecchi|School,,5
9730,29795,Onigakure Yama no Soba no Hana,A short film by Okamoto Tadanari.,Demons|Historical|Kids,,6
9736,39206,Ohanashi no Hana,"Short film by Amika Kubo and Seita Inoue, creatively animating a conversation between three people as they talk about traveling.",Slice of Life,,20
9739,49476,Tarou wa Mizu ni Naritakatta,Short film directed by Kenji Iwaisawa.,Comedy|School,,6
9742,23969,Fuku-chan no Kishuu,"The first film of the Fuku-chan trilogy. Based on a popular newspaper comic strip at the time, Fuku-chan was re-invented for propaganda use.",Comedy|Historical,,23
9744,29948,Chibikuro Sambo to Futago no Otouto,A short puppet animation movie.,Kids,,5
9751,38643,Kazoku Dekki,A short movie about a life of certain family.,Slice of Life,,9
9752,49341,Tokyo 7th Sisters: Bokura wa Aozora ni Naru: Character Butai Aisatsu Eizou,Character Stage Greeting Manner Special's shown before main movie. Later included on the movie Blu-ray release.,Comedy,,16
9753,33318,Scripta Volant,"Graduate animation by Ryo Orikasa, based The Happy Prince by Oscar Wilde.",Avant Garde|Drama,,12
9755,37485,Joukei,A collection of seven short films by Kunio Katou that were screened together at various art exhibitions in Japan.,Slice of Life,,19
9760,43219,Dongguo Xiansheng,A stop motion puppet animation adapting a popular Chinese fairy tale about an old man and a wolf.,Kids,,18
9763,29814,Ikiteirutte Subarashii!,A Toei film directed by Yabuki Kimio.,Kids,,7
9765,29898,Plus 50000-nen,A short movie by Otogi Production.,Sci-Fi,,6
9766,43431,Henkei Sakuhin Dai 5-ban: Rembrandt no Shudai ni yoru Henkei Kaitai to Saikousei,The fifth entry in Kurosaka's Henkei Sakuhin experimental short film series.,Avant Garde,,11
9768,32276,Nar Doma Manner Movie,"A short manner movie that aired at 109 Cinemas from November 1 to November 30, 2015 before films.",Comedy,,18
9776,48971,Waiter,"Short film by Ryoji Yamada. A waiter finished work, goes out and gets drunk.",Avant Garde,,14
9786,40554,"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku",Compilation of .,Action|Drama|Sci-Fi|Military|Space,,3
9789,38861,Hannyashingyou,A film by Keiichi Tanaami.,Avant Garde,,5
9796,28693,Seisho Gensou Fu: Adam to Eve,One of Oofuji's first films shot in colour.,Historical,,8
9802,49283,Bakuten!! Movie,Follow-up anime film for,Sports,,4
9804,33078,Ryoku Tama Shinshi,A stop-motion animation about a demon who tries to get his father's approval by traveling to the big city.,Comedy|Demons,,19
9813,19751,Gu-Gu Ganmo (Movie),"Movie version that lampooned several Japanese Folklore Tales, including that of Princess Kaguya.  Based on a manga by Hosono Fujihiko, serialised in Weekly Shounen Sunday.",Comedy,,25
9816,42256,Tonbo,Abstract animation with a motif of a dragonfly overlap the multiple-exposure footage of a naked woman lying in a field.,Avant Garde|Music,,20
9824,32226,Shuugou no Kangae,An educational film about abstract thought.,Avant Garde|Kids,,6
9843,42275,Miminari,A colorful psychedelic animation that draws on motifs of various parts of the ear and body.,Avant Garde,,16
9851,29797,Risu no Panache,A short film by Okamoto Tadanari.,Kids,,6
9856,40673,Tokyo Mikansei,"The fifth anthology work by animation collective G9+1, about the forever unfinished city Tokyo.",Avant Garde|Music,,14
9860,50282,Mazica Party Movie,Compilation movie for the TV series .,Fantasy|Game,,7
9861,42233,Suirin: Karma (Ni),"A serene, abstract short film by Nobuhiro Aihara, featuring the song by Kitarou (Masanori Takahashi).",Avant Garde|Music,,15
9866,33177,Kamotori Gonbee,A stop-motion animated film based on a folk tale of the same name.,Kids,,13
9869,42278,The Third Eye,"Beginning with a wrinkle of irregular colors, a psychedelic animation with a finger motif develops. The precision of the drawing of this work deserves special mention.",Avant Garde,,26
9871,34718,Sekisou-tai,"By changing the overlapping of sections in the time axis / space axis, the laminate based on the die cut of the hand transforms into various shapes.",Avant Garde,,27
9872,34436,Age of Obscure: Boubaku Jidai,Short film by Mirai Mizue and Onohana with music by Twoth.,Avant Garde,,11
9877,8403,Bonobono: Kumomo no Ki no Koto,"The second theatrical Bonobono movie, done completely in 3D.",Drama,,9
9878,22827,Magical★Taruruuto-kun Movie,First movie of Magical Taruruuto-kun,Adventure|Comedy|Fantasy|Ecchi|School,,5
9880,29833,Mochi Mochi no Ki,An adaptation of a popular children's story by Okamoto Tadanari using a traditional storytelling style of narration.,Kids,,17
9883,37853,Sanuki Eiga-sai Opening Eizou,Sanuki Film Festival in 2015 and 2016 had opening animations to officially launch the beginning of the festival.,Avant Garde|Music,,18
9884,43612,Hulu Xiongdi (Movie),Summary movie of the original with remastered visuals and sound.,Kids,,10
9890,42248,Eizou (Kage),A black-and-white flicker film by Nobuhiro Aihara.,Avant Garde|Music,,7
9903,47409,Gekijou Tanpen Macross Frontier: Toki no Meikyuu,Short screened with .,Action|Romance|Sci-Fi|Mecha|Military|Music|Space,,4
9905,34458,Ousama to Nightingale,A stop-motion adaptation of Hans Christian Anderson's .,Fantasy|Kids,,8
9909,38882,Ryouma! The Prince of Tennis Shinsei Movie: Tennis no Ouji-sama,The film will feature an original story that takes place during the three months following the ending of and the beginning of its sequel .,Action|Comedy|Sports|Shounen,,25
9913,48123,Bei Ken Xiong 2: Jinpai Tegong,"is a Chinese animated adventure comedy film. Directed by Zhang Yang, the film is a sequel to 2017's , which in turn is based on the Backkom animated series.",Action|Comedy|Police|Kids,,29
9915,29800,Urameshi Denwa,A short film by Okamoto Tadanari.,Comedy|Kids,,6
9916,48969,Tosca,Based on an old Russian folk song. This short film by Ryoji Yamada was created in blackboard animation.,Avant Garde,,18
9919,30407,Kitsutsuki: The Ten Hole Stories,G9+1 film.,Avant Garde,,2
9923,49090,Haru wo Irodoru,Seiji Kumoi's graduation work at Kobe Design University.,Drama|Supernatural,6.05,8
9928,5314,Rokumon Tengai Mon Colle Knights Movie: Densetsu no Fire Dragon,An alternative interpretation of the series' start.,Adventure|Comedy|Fantasy,6.09,7
9932,3547,Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie 2: UFO Shuurai! Tornado Daisakusen!!,More movie mayhem for Ryoutsu.,Comedy|Police,7.05,5
9935,41714,Soukyuu no Fafner: Dead Aggressor - The Beyond Part 3,Episodes 7-9 of the series.,Action|Drama|Sci-Fi|Mecha|Military,7.4,5
9942,40109,Soukyuu no Fafner: Dead Aggressor - The Beyond Part 2,Episodes 4-6 of the series.,Action|Drama|Sci-Fi|Mecha|Military,7.31,5
9946,7697,Sangokushi: Dai Ni Bu - Choukou Moyu!,An anime based on the Romance of the Three Kingdoms novel.,Action|Historical,6.79,11
9948,2470,Uchuu Kaizoku Captain Herlock: Arcadia-gou no Nazo,"The story on Arcadia's mystery, on which the 13th television episode was based.",Action|Adventure|Drama|Sci-Fi|Space,7.03,13
9953,42886,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,Continuation of the Ginga Eiyuu Densetsu: Die Neue These series.,Action|Drama|Sci-Fi|Military|Space,8.12,10
9956,33195,Shi Wan Ge Leng Xiaohua Movie 1,The film adaptation of the web manhua.,Action|Adventure|Comedy|Fantasy|Parody,6.82,7
9957,7698,Sangokushi: Dai San Bu - Harukanaru Taichi,An anime based on the Romance of the Three Kingdoms novel.,Action|Historical,6.59,11
9962,46650,Tropical-Rouge! Precure Petit Tobikome! Collaboration ♡ Dance Party!,Short movie screened alongside of,Fantasy,6.62,5
9983,41205,Kouya no Kotobuki Hikoutai Kanzenban,Compilation film with new content.,Action|Adventure|Military,6.66,5
9996,42209,Xi Xing Ji: Zaijian Wukong,Prequel to the series.,Action|Adventure|Fantasy|Historical|Martial Arts,6.77,4
10003,32041,Mori no Densetsu: Dai Ni Gakushou,Sequel of .,Fantasy,6.05,3
10016,49467,Tomorrow's Leaves,"is a short animated film inspired by the Olympic values that provides a fresh perspective on the Olympic values of excellence, friendship, and respect.",Fantasy,6.8,24
10025,39166,Girls & Panzer: Saishuushou Part 3,The third film in the six-part film series.,Military|School,8.23,8
10027,14183,Aitsu to Lullaby: Suiyobi no Cinderella,Based on a shounen manga by Kusunoki Michiharu serialised in Weekly Shounen Magazine.,Drama|Romance|Shounen,5.63,13
10030,9242,Nine: Original-ban,Cinema adaption of the manga by Mitsuru Adachi.,Romance|Sports|School|Shounen,5.93,8
10035,33183,Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,Toei Animation has announced that a movie for will premiere in October 2016.,Action|Fantasy|Slice of Life|School|Shoujo,7.57,13
10044,42593,Kesshouban: Eigakan e Iku,An anime short screened along with the theatrical anime.,Comedy,6.17,9
10054,18061,Tiger Mask (Movie),Re-edit of Episode 9&10.,Sports|Shounen,6.28,4
10055,18063,Tiger Mask Fuku Men League Sen,Summary of episode 23 to 26.,Sports|Shounen,6.35,6
10064,33724,Monster Strike The Movie: Hajimari no Basho e,The film will feature a character named Lucifer.,Action|Fantasy|Game,6.83,8
10068,39529,Youkai Watch Movie 6: Youkai Gakuen Y - Neko wa Hero ni Nareru ka,Sixth film.,Comedy|Supernatural|Demons|School|Kids,5.93,2
10077,4640,Maroko,Summary for the Gosenzosama Banbanzai! OVA.,Comedy|Drama|Sci-Fi|Psychological,6.31,6
10094,29867,Wasurerareta Ningyou,"A short film by Okamoto Tadanari, blending puppet and drawn animation.",Kids,5.08,11
10105,30309,Yuuyake Dandan,Short films screened at 109 Cinemas during previews.,Slice of Life,4.76,8
10110,8416,Bonobono,The first theatrical Bonobono movie.,Comedy,6.06,5
10118,34227,Belle to Kaijuu Ouji,A stop-motion puppet animation adaptation of the fairy tale.,Fantasy|Historical|Kids,7.04,9
10121,37051,Petit☆Dream Stars! Let's La Cooking? Showtime!,A 3DCG short screened alongside .,Fantasy|Slice of Life,5.97,6
10125,41796,Omukaisan,An abstract short film by Mika Seike depicting the tense conversation man and a woman.,Avant Garde|Drama,5.02,15
10127,29679,Ki Renka,Independent animation by Hayashi Seiichi.,Drama|Demons,4.62,5
10142,2614,Mirai Shounen Conan: Kyodaiki Gigant no Fukkatsu,Mirai Shounen Conan movie.,Adventure|Drama|Sci-Fi,6.93,4
10148,10261,Toufu Kozou,Based on Kyougoku Natsuhiko's Toufu Kozou Sugoroku-douchuu Furidashi novel.,Comedy,5.6,9
10150,7491,Dragon Quest Retsuden: Roto no Monshou,The adventures of Arus's childhood.,Adventure|Fantasy|Shounen,5.94,5
10166,9790,Sora no Otoshimono: Tokeijikake no Angeloid,"Movie adaptation of the Sora no Otoshimono manga, based on Kazane Hiyori's arc.",Comedy|Drama|Romance|Sci-Fi|Supernatural|Ecchi|Harem|Shounen,7.58,13
10168,38714,Gundam: G no Reconguista Movie I - Ike! Core Fighter,Summary of the first half of series.,Action|Sci-Fi|Mecha|Space,6.57,7
10170,19135,Kuroi Ame ni Utarete,Anime adaptation of the manga by Nakazawa Keiji.,Drama|Slice of Life|Historical|Seinen,5.48,8
10171,25729,Tamayura: Sotsugyou Shashin Part 1 - Kizashi,The first movie of a four-part finale of .,Comedy|Drama|Slice of Life,7.65,9
10174,8539,Toilet no Hanako-san,A short movie based on Japanese urban legend.,Horror,6.04,8
10181,18533,Jungle Taitei Leo: Hon-o-ji,This is one of a number of original animated short films made for viewing at Tezuka Osamu World's Tezuka Osamu Animation Theater in Kyoto.,Adventure|Drama,6.07,24
10185,28257,Youkai Watch Movie 2: Enma Daiou to Itsutsu no Monogatari da Nyan!,Second movie.,Comedy|Supernatural|Kids,6.87,2
10200,9340,Cheburashka,The stop-motion animated film based on Russia's Cheburashka character.,Comedy,7.46,9
10205,32736,Pepsi Nex x 009 Re:Cyborg,"A collaboration project between and Pepsi Nex, which features characters from the former fighting over the drink.",Action|Comedy,5.3,17
10215,32806,Aikatsu!: Nerawareta Mahou no Aikatsu! Card,Short anime screened alongside Aikatsu Stars! Movie. The film and the short will mark the first time the franchise is screening a double feature.,Slice of Life|Music|School|Shoujo,7.37,24
