title,synopsis,genres,index
Mirai Koushi Harima SACLA,"The Japanese research lab SACLA has released a short anime titled ""Future Photon Harima Sakura"" to promote their X-ray Free Electron Laser (X-FEL), the brightest x-ray source in the world.  As described on her official webpage, the feature character Harima Sakura is a G4-type Picodroid, a living entity with self-learning and evolutionary capability. She can shrink down and dive into the world of atoms, invisible to the human eye, known as the ""Pico Universe."" Her athletic ability is very high. In cooperation with a variety of researchers and scientists, she explores the world inside atoms with a strong sense of justice.","('Music', 'Sci-Fi')",5754
"Ore, Tsushima (ONA)","The stray cat Tsushima is adopted by an old lady—mistakenly referred to as ""Ojii-chan""—who dreamed of owning a cat resembling a bear. The talking cat makes life both colorful and more exhausting for the poor old lady and her numerous other cats. These shorts depict the everyday exploits of the sluggish leopard cat Tsushima.","('Comedy',)",5755
Mon-Soni! D'Artagnan no Idol Sengen,"When D'Artagnan went to Tokyo for a little fun, she spotted an unforgettable sight: Lucifer singing while basking in moonlight in a park. From that moment, no matter if she was asleep or awake, D'Artagnan's heart would not stop throbbing for some reason.  One day, D'Artagnan sees a concert by the popular idol act Angely Diva at her friend Izumo's invitation. There, she resolved to follow her idol dreams, and the story of song and miracles begins.","('Action', 'Fantasy', 'Music')",5756
Ling Long: Incarnation,"In the not-too-distant future, the human world has long been overpopulated. Humanity marched to the stars in search of a new home, and just as this was going on, the moon's alignment caused massive earthquakes to ripple across the world, lasting several decades. Humanity was demolished. When the land finally recovered, humanity reemerged to face this strange yet familiar world. Will we, who once lorded over this domain, still remain the masters of this world?","('Action', 'Drama', 'Sci-Fi')",5757
Gundam Build Fighters: GM no Gyakushuu,"The day before the ceremony marking the completion of the Yajima Stadium, Nils Nielsen invites Sei Iori, Meijin Kawaguchi, and others to an exhibition battle using the new large-scale battle system he has designed. Now that they are all reunited, Sei attempts to show off the Build Strike Cosmos that he has upgraded for the exhibition, but then he notices something missing... Meanwhile, somebody takes control of the stadium's systems, sealing Sei and the others inside. Before them appears a mysterious group, which has come to challenge them to Gunpla Battle.","('Action', 'Mecha', 'Sci-Fi')",5761
Star Wars/Force no Kakusei,"published a flip book movie about the episode ""The Force Awakens"" in the series ""Star Wars"" celebrating the premiere of ""Star Wars: The Last Jedi"" (directed by Ryan Johnson) on the same day.  The movie begins with the scene in which a group of Stormtroopers is marching, and continues with other scenes for instance when protagonist Rey meets BB-8, then confronts Kylo Ren - who intends to fulfil the legacy of Darth Vader - waking up the Force, when Rey meets Luke SkyWalker, a legendary Jedi; and depicts the whole film series.","('Sci-Fi',)",5763
Samurai Noodles: The Originator,"A commercial for Nissin brand ramen noodles. It tells the story of how instant ramen first came to be, as told through rap verse.","('Historical',)",5765
Sushi Ninja,"Elite Sushi Ninja fights with evil Monsters for justice every day! They, however, are on the popular superhero TV show…. In the real world, three lazy kids named “IKURA”, “MAGURO”, and “TAMAGO” watch with that TV show. They wish to be Heroes like the Sushi Ninja on the TV show some day, but they always fall out over something stupid. One day, they unexpectedly meet up with a beautiful Princess being chasing by Nachos King Gang. She deems the three guys to be the Heroic Sushi Ninja on TV show and asks them for help. They are so excited and act like the heroes on TV show. Then they decide to face with the enemies to protect the Princess…. Can they be the real Heroes and protect the Princess from the evil?","('Action', 'Comedy', 'Fantasy')",5768
Fafa Movie,"A promotional anime for Nissan Soap's Fafa laundry mascot. These two ONA films were promoting the AiR Fafa project. The project itself was a type of augmented reality app that people could play with. North American viewers may recognize Fafa under a different name ""Snuggle"". The mascot for the fabric softener brand owned by Sun Products.","('Slice of Life',)",5769
Heibai Wushang,"A story about two young demons who are always slacking off at work, a place that happens to be an organization that vows to keep the balance between the worlds of the living and dead by killing humans!","('Action', 'Comedy', 'Supernatural')",5770
Fanren Xiu Xian Chuan: Fanren Feng Qi Tian Nan,"A poor and ordinary boy from a village joins a minor sect in Jiang Hu and becomes an Unofficial Disciple by chance. How will Han Li, a commoner by birth, establish a foothold for himself in in his sect? With his mediocre aptitude, he must successfully traverse the treacherous path of cultivation and avoid the notice of those who may do him harm. This is a story of an ordinary mortal who, against all odds, clashes with devilish demons and ancient celestials in order to find his own path towards immortality.","('Action', 'Adventure', 'Fantasy', 'Historical')",5771
Ookami to Koushinryou VR,"Independent development circle announced on that it is developing a virtual reality anime based on Isuna Hasekura's Spice & Wolf novels. Hasekura himself is writing a new scenario for the anime. It will have English subtitles. The television anime's voice actors Ami Koshimizu (Holo) and Jun Fukuyama (Kraft Lawrence) are returning.  The anime is slated for release on HTC VIVE, Oculus Rift, and other platforms in early 2019. It will also be viewable on PC without a VR headset.","('Adventure', 'Fantasy', 'Historical')",5772
Road to You,"A trilogy of commercials for created to promote their line of snow tires.   Amidst a snowfall, a father and daughter, a young couple, and two coworkers must learn to work through their intermingled feelings as they come together for the town's light show on the riverside.   For Yui's 20th birthday, she and her mother pay a visit to the old observatory they used to go to every year in her youth. As they approach the snowy summit, Yui recalls memories of visiting the spot with her late father.   A boy and girl fall in love but are forced to break up when the girl decides to move to France to study. Heartbroken, the boy chases after her as she drives away in the snowstorm.","('Drama', 'Romance')",5773
Wo Shi Jiang Xiaobai,"Ten years ago, Jiang Xiaobai lost all his memories due to a traumatic event he no longer remembers. Now working as a trainee in Editorial Office No.2 of Wen Zheng Magazine, a literary periodical based in Chongqing, he is excited to begin a new chapter of his life: in two days, he finishes his probationary period and officially starts his job as an editor. He gives no thought to his recurring dream of a girl whose face can never clearly see.  That evening, one of Jiang Xiaobai's seniors passes him the task of rushing to the airport to escort the idiosyncratic rising author Tong Li, who has returned from America to launch her first serialized novel in Chinese. As punishment for this senior reneging on his own duties, Jiang Xiaobai replaces him as Tong Li's new editor. Though they get off to a rough start, Tong Li soon recognizes Jiang Xiaobai as someone precious from her high school days. Before they know it, the wheels of fate are set in motion, as Jiang Xiaobai slowly uncovers clues about a long-forgotten girl from his past.","('Drama', 'Romance', 'Slice of Life')",5774
Donten ni Warau x Mameshiba,"A special collaboration with and . The latter is having a live-action movie release on March 21, 2018. In the special, a shiba-ified Tenka introduces the film while a shiba-ified Shirasu, Soramaru, and Sousei follow along in the back.","('Comedy',)",5776
Rean no Tsubasa,"Because his friends fired a rocket into the US Army camp, Suzuki was wanted by the US Army and the police. While he was running away the sea surface suddenly rose, and when a brilliant light appeared he saw a strange looking battleship flying in the air. He was dumped into the sea and when he crawled onto the battleship there was a beautiful girl standing there. She said her name was Lyx, the princess of another world, and added, ""My Father is Japanese, Shinjiro Sakomizu. Please help me, Suzuki.""  Based on the novel series by the Gundam creator Yoshiyuki Tomino.","('Fantasy', 'Mecha', 'Sci-Fi')",5777
Mang Huang Ji,"Fate had never been kind to Ji Ning. Wracked by illnesses and infirm his entire life on Earth, Ning knew early on that he would die as a teenager. What he didn’t know was that there really was such a thing as life after death, and that the universe was a far larger place than he thought. A lucky twist of fate (one of the few in Ning’s life) meant that Ning was reborn into a world of Immortals and monsters, of Ki Refiners and powerful Fiendgods, a world where Dynasties lasted for millions of years. A world which is both greater and yet also smaller than he ever could imagine. He would have the opportunity to join them, and in this life, Ning swore to himself, he would never let himself be weak again! The Era he was born into was a Desolate one, but Ning would make it his era.","('Action', 'Adventure', 'Fantasy', 'Historical')",5779
Hangyakusei Million Arthur PV,"The animated PV for Square Enix's mobile MMORPG, .  Britain is a land surrounded on all sides by sea. When threatened with an invasion from an unknown enemy, this land quickly falls into chaos. Britain's only hope is the guardian known as Arthur, the one who is chosen by the sacred sword Excalibur.  However, this title wasn't exclusive to just one hero. With the sacred sword deeming challengers worthy, this number quickly grew into the millions. As Arthurs, they fulfill their duty as a guardian, in this never-ending struggle against death.  On the other hand, there are those who shoulder a different mission from these Arthurs. ""Destroy Excalibur"". These warriors are referred to as AGENT Arthurs.  To destroy one million Excaliburs, they wield Excalibur. They are Arthurs, yet not Arthurs. This is a tale of rebellion for those struggling to prevent the end of the world.","('Action', 'Adventure', 'Fantasy')",5784
Youjo Senki: Sabaku no Pasta Daisakusen,"The 203rd Air Mage Battalion led by Tanya is forced to fight in the southern desert, the front line. In an effort to provide some food for the harsh conditions, Colonel Rerugen sent dried pasta to the battlefield. Will Tanya and the others be able to eat the delicious pasta under the conditions of water shortage?","('Action',)",5785
Star Fox Zero: The Battle Begins,"Andross, an ape exiled from the Lylat Planetary System by General Pepper seeks revenge by attacking the planet and its innocence, kidnapping Pepper in the process. Meanwhile, it's another usual day for Team Star Fox, a gang of space mercenaries: Lazing around, getting angry at video games, and being lectured by their mentors. But all of that changes once they receive a distress call from a familiar face.  Meet Fox McCloud, son of the deceased James McCloud, as he and his top-notch crew—Slippy Toad, Falco Lombardi and Peppy Hare—fight back against Andross's robotic army in style, and attempt to save Corneria from the skies.","('Action', 'Sci-Fi')",5787
Wan Jie Xian Zong,"Ye Xingyu'’s master Yu Huanxian went and left a giant Tianyuan Shenzong. Ye Xingyun became the new leader of the Tianyuan Shenzong. At the same time, the civet cat exchanged Prince Edward’s method and became a child of a small family, hidden in it, waiting for revenge. Opportunity. Ye Xingyun embarked on a very dangerous road, but with his own strategy, and Tianyuan Shenzong masters of all the help of experts, vertical and horizontal tactics, strategizing, against the huge Grand Dynasty.  (Sorce: Anilist)","('Action', 'Adventure', 'Fantasy', 'Historical', 'Romance')",5788
A Day Before Us,"What was school life like for the main characters of ? With the past usually seen as dark or old news, it only takes a moment revisiting it to realize how pure and fresh those days were. Season Zero is about Wook and Yeo-reum's growth during their high school days while introducing new attractive characters and their story to the plot.","('Romance', 'School', 'Slice of Life')",5792
Hanasaku Kizuna no Romantan,"After an invasion by the Vivolian army, the Sprite Himawari and her childhood friend Tsubaki flee their homeland of Floria for the town of Romton. There, they live out their lives in peace... for a time. One day, Himawari's friend and fellow Sprite Ajisai is kidnapped by mysterious strangers. Now Himawari and detective Tsubaki set out to rescue her, but find the dreaded Vivolians standing in their way!  A 2D animated special episode aired on the Monster Strike anime channel, promoting the Monster Strike game debut of the Flower 4 series. Despite this, the storyline is standalone and unrelated to previous Monster Strike anime installments.","('Action', 'Adventure', 'Drama', 'Fantasy')",5796
CMFU Xueyuan: Wangzi Peng Peng Qiu,"Qin Xiaolu is a problematic girl. Her parents divorced. She was raised by her grandmother. She went to work at a young ageand later she started playing billiards. Now she is playing gambling and kidnapping becoming a superb female gangster.  One day, Qin Xiaolu touching the porcelain, escapes from gangsters and it the end she blackmail a BMW owner. She didn't expect that the owner to be the prince of the CMFU Academy.","('Romance', 'School', 'Sports')",5798
Hachigatsu no Cinderella Nine,"The opening animation PV for , a mobile game app where you train/raise a group of high school girls to become baseball athletes so that they can make it to Koshien. The game was launched the following month for both iOS and Android.","('Music', 'Sports')",5799
Mo Ri Shu Guang,"In the year of 2013, the tide of zombies outbreak exploded in everyone's homeland, humanity launches a large-scale battle in the endless nights awaiting for the arrival of the dawn.  The end is approaching, is there going to be a way out for them? Their faiths were shattered into pieces and buried in ashes in the raging fire. But within the blazing fire, a newborn hope arise once again.","('Action', 'Supernatural')",5800
God Eater Resonant Ops,"The opening movie to , the iOS/Android game. The animation was streamed on Bandai Namco's official YouTube channel and was promoting the game's release slated for the following month. A second version of the video was posted on April 4, 2018 but contains no change in animation. Only the watermark and the still image at the end were changed.","('Fantasy', 'Music', 'Sci-Fi')",5803
Turnover,"The story centers around Chizuru, who moved from Yamaguchi to Tokyo, and cannot keep up with the pace of her studies. Losing sight of her dream because of discouraging marks in practice exams, she talks to her former classmate Shōta, and slowly begins changing the way she studies.","('School', 'Slice of Life')",5805
Shuangsheng Lingtan,"There is always more to the world than meets the eye. This is the motto that twin brothers Sun Xiaotu and Sun Xiaohu follow in their lives as paranormal investigators, where what may be terrifying to some is just another day at work. Normally, it is simple for them to separate their daily lives from their job, but when they go to investigate a seemingly typical haunting of a pair of twins, a series of bizarre events throw their perception of the supernatural world into question as they become a target of the hauntings themselves.  The further the brothers search for answers to the paranormal mysteries thrown at them, the hazier the lines between truth and fiction become. Through the challenging and sometimes dangerous adventures ahead, one question remains: what kind of secrets are the ghosts trying to hide from them, and are they already more connected to the spirits than they originally thought?","('Mystery',)",5808
Harukana Receive: Yokoku,Web-exclusive next episode previews for . These contain unique chibi animations and are released on Kadokawa's official YouTube channel. They are released about 2 days prior to the full episode airing.,"('Sports',)",5814
Kataribe Jinkou Chinou ga Tsubuyaku Noroi no Yogen,"An animated promotion steamed on Kadokawa's official YouTube channel for Kataribe Jinkou Chinou ga Tsubuyaku Noroi no Yogen, in honor of its first tankoubon volume going on sale the very same day.","('Seinen',)",5816
Han Solo/Star Wars Story,"Two shorts created by Disney Japan in honor of being released on MovieNEX, which is a set item of Blu-ray disc, DVD, and digital copy (cloud compatible) release of films (essentially every home-media release available as a single purchase). MovieNEX is unique to the Japanese market.","('Sci-Fi',)",5818
Kotatsu Neko,"A lazy cat sits comfortably under the ""kotatsu"", a low table with a heater used in Japan to keep warm during winter. What will he do when he realizes the remote control of his TV is out of reach?","('Comedy',)",5819
God Eater 3,"The opening promotional animation to Bandai Namco's . The game is slated to be released next month for PS4 and the following year for PC. The story is a sequel to , just like . There was a disaster of tremendous proportions, referred to as ""Ash Area"" that devoured Fenrir, and is apparently still ongoing.","('Action', 'Music')",5822
Baby I Love You Daze,"Japan-based confectionery company Lotte opened a special site to celebrate the 70th anniversary since its founding in 1948. The centerpiece of the commemorative website is a new animated musical short featuring the song ""Shinesekai"" (New World) by the band Bump of Chicken.  The video centers on a middle school boy-meets-high school girl scenario. They are surrounded by a wide range of characters who are all ""spirits"" of various Lotte snacks, such as a men's singing group representing Ghana chocolate bars and, well, Koalas representing Koala March.","('Music', 'Romance')",5825
Tian Bao Fuyao Lu,"In the twelve years of Tianbao, Kong Hongjun, a handsome young man who is not familiar with the world, left the Yaojin Palace on the Taihang Mountain with three important tasks, and came to Chang'an, which is full of prosperity. Kong Hongjun first entered the Datang Exorcism Division, and the head supervisor was actually Long Wujun general Li Jinglong who had dealt with it not long ago. But he accidentally broke the Chen's heart lamp, and the heart lamp entered Li Jinglong's body. In the light and shadow of the lamp, there are the bright red lights of Pingkangli, the exorcism of the sycamore in the summer sunshine, the vast sky and sand and flying snow, the peaceful singing of Artai. Mo Rigen and Lu Xu picked off early morning leaves, Qiu Yongsi's flying strokes.","('Action', 'Fantasy', 'Historical')",5827
Sekiei Ayakashi Mangatan,"The story is set during the middle of Japan's historic Edo period. It centers around Toriyama Sekiei, an eccentric but brilliant artist who only draws supernatural creatures—because he draws the creatures he actually encounters in his life.","('Fantasy', 'Historical', 'Supernatural')",5828
Xingchen Bian,"In a galaxy far away, there is a kid without innate ability to practice internal techniques. So, in order to gain the respect of his father, he resolutely chooses to follow the more difficult and painful path of practicing external techniques. As the years go by, he grows up, but what really changes his life is a mysterious meteoric crystal stone – the Meteoric Tear. This stone fuses with the young man’s body unnoticed, and he seems to undergo drastic transformations as a result. After that, everything is changed. Eventually his father knows that the son for whom he hasn’t really shown a lot of consideration possesses astonishing abilities. And there’s a lot more to come.","('Action', 'Adventure', 'Fantasy', 'Historical', 'Romance')",5829
Gundam Build Divers Prologue,"The Gunpla Force Battle Tournament is a big event held in GBN once per year. Competing in the final round are Avalon, led by the champion Kyoya Kujo, and the elite 7th Panzer Division led by the cunning Rommel. Starting with Kyoya's Gundam AGE II Magnum, a variety of Gunpla take to the field to determine which is the strongest force!","('Action', 'Mecha', 'Sci-Fi')",5830
Kodomo no Keijijougaku,"A child whose head is numerals, a child who winds his own face and has it under his arm. What was left is his identity, a child whose eyes are provided by fishes, a child who lies down on the floor and head-butts his identity, a child who cannot say anything because of a zipper across his mouth. He undo the zipper but under it is another zipper... Ecology and philosophy ofchildren with sadness and humour.","('Fantasy',)",5831
Tales of the Rays,"Includes an animated promotional/opening video for the iOS/Android game and the main promotional video. Bandai Namco announced it was a sequel to and streamed the video on their official YouTube channel.  The game and videos star new characters Ickx Neve and Mileena Weiss along with a cast of returning characters from other games.  In a nontraditional manner, no new game app will be created, rather the current game app will receive a massive update and discontinue the main story line and start anew (several years later in-story) resetting the game play for all users. The story is said to take a darker tone.  The game's production was announced in 2015 and the official launch is expected some time later this year.","('Fantasy',)",5832
Fate/strange Fake,"The light novel label commemorated sixth light novel volume's release for January 10, 2020 by releasing a full commercial on their official YouTube channel an hour before the new year.","('Action', 'Fantasy', 'Music', 'Supernatural')",5833
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"The true end arc of Ore no Imouto. These four episodes branch out after the 11th episode of the main TV series and present an alternative version to the end of the TV series. These episodes contrast with the good end arc of the TV series, which was an original ending written for the anime, and instead closely follows the original story from the light novels.","('Comedy', 'Slice of Life')",5834
Aggressive Retsuko (ONA) 3rd Season,"After an emotional breakup with her boyfriend, red panda Retsuko closes herself off to the thought of ever being in love again—well, with an actual person anyway. Retreating into the world of VR, her virtual boyfriend showers her with praise and shows up in cute outfits, albeit for a price.  While scrambling to find other ways to earn money, Retsuko finds herself in yet another financial bind after accidentally ramming into a parked van with a rental vehicle. The owner of the van, a gruff cheetah named Hyoudou, recruits her as an accountant for an underground idol group which he manages. Retsuko soon begins to buckle under the pressure from the new job, leading to plenty of inspiration for her next death metal vent sessions.  In the midst of it all, Retsuko begins to wonder if she truly desires a colorless and uninteresting life, or if there's something waiting beyond her office desk. Will Retsuko finally come out on top, both in love and in the workplace? Or will she once again be convinced that the dull and sterile life in her office environment is the one she must lead?","('Comedy', 'Slice of Life')",5835
Honda-san x Taka no Tsume,"A collaboration between the Eagle Talon franchise and . The former is promoting the latter's TV series. In a tongue-in-cheek style Yoshida-kun ""explains"" what is about but gets it hilariously wrong much to the shock and frustration of Honda-san himself, such that never getting his name right.","('Comedy',)",5839
Master of Torque,"It is Tokyo, Japan in the year 2017, just three years before the city's hosting of the 2020 Olympic Games.  Throughout the city, the Shutoko metropolitan highway system is being dismantled and renovated, and new areas and facilities are being constructed, all at a feverish pace to complete the work in time for the Games.  The Hyuga Corporation—a massive firm that succeeded in pioneering the practical use of artificial muscle fibers—is launching numerous products that supplement human muscle functions, and is in the midst of a massive surge in profits.  At its headquarters on National Route 246 in Tokyo's Gaien-mae district, Hyuga Corp. was secretly developing a powered suit that gave people with just an average level of physical fitness the superior skills and abilities of a very select group of professional athletes. This was all a part of the company's plan to completely dominate their competitors and monopolize the industry.  Dan Amo works at the General Affairs department of Hyuga Corp. By day, he is a nondescript salaryman, but at night, he relishes the sense of fulfillment his motorcycling lifestyle brings him. However, when night comes to Route 246, a group of mysterious riders in black suits frequently appear, and a freelance journalist, Makina Mikage, is always on their tail. Another figure appears on the scene in Kotaro Hyuga, the heir to the Hyuga Corp. presidency.  The threads of an inescapable fate begin to draw these three young riders together...","('Action', 'Sci-Fi')",5840
SD Gundam World: Sangoku Souketsuden,"As if led by fate, after meeting Guan Yu Nu Gundam and Zhang Fei God Gundam, Liu Bei Unicorn Gundam resolves to save the world.  Repeated warfare has destroyed countries that once prospered gloriously, leaving the land in ruins. Just when revival is in sight, an epidemics of the mysterious Yellow Zombie Virus breaks out. The virus carriers lose themselves and start attacking people. The survivors are forced to live inside fortified cities for protection relying on a form of energy known as ""Trinity."" However, this finite energy has caused social stratification and much conflict. Each fortified city is isolated by walls, and each country is ruled by a lord. The lord Dong Zhuo has been acting in an outrageous manner since the passing of the previous lord. As if drawn together by destiny, Liu Bei Unicorn Gundam meets Guan Yu Nu Gundam and Zhang Fei God Gundam, and decides to save the world.  Eventually, the passion of the three young men will bring about great change in the world. The new heroes unveil a new chapter in history!","('Action', 'Historical', 'Mecha')",5841
Nora to Oujo to Noraneko Heart: Nora Fuku Ekichou Shuunin-shiki,"A collaboration between the TV anime and Aizu Tetsudou (Aizu Railway).  Nora has decided to take office as the honorary deputy station master of Aizu Railway's Ashinomaki-Onsen Station. This is the station of the famous real-life cat named Bus, who acted as the station master (similar to the cat Tama of the Kishi Station). On September 17, 2018 Nora will be inaugurated, the ceremony will have commemorative goods available.","('Comedy',)",5843
Anisama,"The official YouTube channel of the Animelo Summer Live concerts began streaming a Kemono Friends anime short video on Wednesday. The video features Northern White-faced Owl and Eurasian Eagle-Owl gathering a team of friends together to clean up the dilapidated Saitama Super Arena, the real-life venue of the Animelo Summer Live event.  While there, the friends find cards that teach proper behavior while enjoying the concert, such as not using electronic devices. (""What's a 'mobile'?"" ""Doesn't look very tasty."") Later, the friends see how many people are entering the venue (far above their estimate of 100), and beat a hasty retreat.","('Adventure', 'Comedy', 'Fantasy')",5844
Gaza: Changing the World,A promotional video produced by the Shizuoka Muslim Association for their campaign to fund and build a mosque in Shizuoka prefecture.,"('Drama', 'Supernatural')",5847
NoisyCell x Ponkotsu Quest,"A collaboration promotion between the Ponkotsu Quest and NoisyCell for their 3rd minialbum ""Pieces"" being released on June 21, 2017 as well as their tour ""New Game+"" starting on July 16, 2017.","('Comedy', 'Music')",5849
New My Tear CL Series,"A collaboration between an eyedrops company for their new product ""Ice Crash"", and . The campaign produced 1 TV commercial and 2 web-exclusive commercials as well as various tie-in goods. But the new footage created for the campaign was identical between all three releases, with the rest of the footage being from the feature film besides the difference in narration. As such, MAL will reflect this campaign as a single episode entry as there was no change new anime content among the three releases.","('Slice of Life',)",5851
PES: Peace Eco Smile,"A collaborative effort between the Japanese automaker and Japanese anime company Studio 4°C, PES: Peace Eco Smile is a new web promotional anime series that centers around PES, a traveller from space, and NaSuBi, a mysterious life-form who is enamored by the charm of Earth. The car of choice for these strangers in a new world? The Prius, particularly the Prius Liftback and Prius C hatchback. These two hybrids seem to be as much a part of this series as the two main characters are. A Lexus LFA (likely the ride of the antagonist) and the Toyota Camry hybrid also have a role to play.  Each anime short in the campaign will be three to four minutes long and will be posted on Toyota's specially-dedicated website.","('Slice of Life',)",5859
Kingsglaive: FFXV Fan Kansha Tokubetsu Movie,"A fan appreciation special movie release on Square Enix's official youtube channel which indicated that Jan 1, 2017 will be the start of a collaboration with Final Fantasy: Brave Exvius, a mobile mmorpg launched in Japan over a year prior.  We see the popular cartoon character Malboro-kun as he hilariously runs away from a monster, when Yama-chan appears and makes short work of the tentacled threat.  Yama-chan is the owner of a bar in the immigrant district in Insomnia, where the Kingsglaive members often go to dine, as we can see in a scene of the film itself. He's known for his dish Malbo Smul, and this time around we get to see how he procures his meat.  Incidentally, Yama-chan's fighting style definitely looks like that of a Glaive, so apparently there is more to him than meets the eye.","('Action',)",5865
DC Super Heroes vs Taka no Tsume-dan Promotion Eizou,"A collaboration episode promoting the BD/DVD release of DC Super Heroes vs Taka no Tsume Dan and the Japanese BD/DVD release of Justice League both going on sale March 3, 2018 with the special goods that come with them. The characters all break the 4th wall to self-promote their material and get into a scuffle about whose release would sell better.","('Comedy', 'Super Power')",5867
Wu Geng Ji,"A messenger of the Heavens has arrived in Zhao Ge, which has been ruled by the Shang dynasty for generations. The current emperor, Zi Zhou, refuses to bow his head before the gods, and declares to the messenger that he will no longer accept the tyranny of the Heavens. The gods do not take this kindly; and soon, the emperor of a neighboring land, Wu Jifa, leads a crusade against the rebelling Shang.  During the battle, the Shang forces are vastly overwhelmed, and just when the capital is inches away from being taken, Zhou joins the fight. Although he breaks through the enemy ranks and makes his way toward Jifa, out of nowhere a god falls from the sky, landing right before him, prepared to personally deal with the troublemaker.","('Action', 'Fantasy', 'Historical', 'Supernatural')",5868
Wu Dong Qian Kun,"The Great Yan Empire exists in a world where respect can only be earned through strength. Within this Great Yan Empire, the four great clans have always stood above the rest. Among them, a particular incident in the Lin Clan resulted in the banishment of a certain individual who went on to start his own family, in hopes of one day being recognized again by the Lin Clan, and rejoining them…  Hailing from a banished family of the Great Lin Clan, when Lin Dong was very young, he watched, powerless, as his talented father was easily crushed and crippled by the overwhelming genius of the great Lin Clan, Lin Langtian.  With a despairing father, a heartbroken grandfather, and a suffering family, ever since that fateful day, Lin Dong has been driven by a deep purpose; to take revenge on the man who had taken everything and more from his family.  Armed with nothing but willpower and determination, join Lin Dong as he unknowingly discovers a destiny greater than he could ever hope to imagine when he stumbles upon a mysterious stone talisman…","('Action', 'Adventure', 'Fantasy', 'Historical')",5871
Itazura Majo to Nemuranai Machi,"The story is set in New York which is lit up with Christmas lights. Tokyo Metropolitan Police officer Akari Kido is directing traffic while on her international exchange training program, when a witch-like character pulls a ""Christmas Party"" prank. Just before a runaway trailer truck smashes into Akari, a mysterious girl suddenly appears and shouts, ""I'm going to protect New York and Akari!""","('Action', 'Fantasy')",5872
Star Wars/Saigo no Jedai: Tokubetsu Eizou,"A promotional video for , titled in Japan. The video re-imagines the Star Wars cast in BB-8's cute design and recaps the events of the previous film , titled in Japan.","('Sci-Fi',)",5875
Toki wa Meguru: Tokyo Station,"Misaki, a 25-year-old woman who is soon to be married, finds an old photo taken at Tokyo Station and an old, broken pocket watch from her late father. Her father worked at Tokyo Station during his life and was a very strict man in her memory, but she saw his smile from the old photo that she's never seen before. Misaki, in attempt to have the old pocket watch repaired, discovers that a watch store existed in Tokyo Station in the past.","('Slice of Life',)",5878
"""R100"" x Mameshiba Original Manners","A movie theater manners collaboration between and the feature film , which was released nationwide in Japan on October 5, 2013. The film is about a salaryman who joins a BDSM club that starts to leak into his family life--it is considered a sex drama comedy film.","('Comedy',)",5879
Ichigeki Sacchuu!! Hoihoi-san: Legacy,Originally planned to be released as an original video anime adaptation of Ichigeki Sacchuu!! HoiHoi-san Legacy manga. Japanese publisher ASCII Media Works concluded that there has been no prospect of completing the production of the title and cancelled the production. The two-minute trailer is all that was released of this project.,"('Comedy', 'Sci-Fi')",5881
Dou Shen Ji,"At the end of the 21st century, the discovery of a new energy source called ""DG energy"" (short for ""divine grace energy"") has revolutionized Earth's economy and allowed humanity to colonize space. However, when the initial expedition reaches Pluto, they are attacked by a mysterious, giant life-form known as ""Nergal.""  The Earth Alliance Army fights back by creating an ""AG Unit"" using ancient robot weapons known as the ""G's Frame"" which were excavated from archaeological sites all around the world. Girls with special qualities known as ""Ancient Girls"" can pilot these robots against the Nergal. However, the first AG Unit suffers heavy casualties in the Jupiter Trojan campaign, and the pilot of Unit 04, Minamiya Reiu, goes missing-in-action...  Years later, Minamiya Reika, the younger sister of Reiu, enlists with the AG Unit to search for her sister and to protect the Earth from the Nergal. A story of friendship, ancient robot weapons, and battles to the death with the Nergal ensues.","('Action', 'Mecha', 'Sci-Fi')",5882
He Wei Dao x Daojian Shenyu Alicization,Cup Noodles' Chinese brand He Wei Dap posted an ad on Chinese social media platform Sina Weibo showing Kirito and Alice from enjoying cup noodles together. The ad features exclusive footage and new recorded lines by the voice actors in Japanese with Chinese subtitles.,"('Action', 'Comedy', 'Fantasy')",5883
Yinhun x He Wei Dao,"Chinese streaming platform Weibo is hosting exclusive footage. The ad is in Japanese with Chinese subtitles showing the characters enjoying Cup Noodles' Chinese brand, Hé Wèi Dào.   is titled and marketed as in China.","('Comedy',)",5886
Green Dakara x Mirai no Mirai,"A collaboration between SUNTORY's drink brand and the anime film.  In the first commercial, SUNTORY's drink mascot characters Green Dakara-chan and Mugi-chan come inside protagonist Kun's house. He tells them to be quiet so as not to wake the sleeping Mirai.  The first ad debuted on Japanese national TV and online on Friday. The 2nd commercial was also debuted on Friday but it did not receive its national TV airing till the following week.","('Music',)",5887
Keifuku-san,"Incorporating the earlier two parts and adding additional footage as an epilogue, Keifuku-san features the adventures of a young girl in a railway conductor uniform and a floating manta ray as they explore an otherworldly space. The video features direction by Tatsuki, animation by Hirayasu, and art by Yukko (all members of animation studio irodori), as well as the voice talents of Yumiri Hanamori.","('Fantasy',)",5889
IDOLiSH7 Vibrato,"A spin-off series of the TV series, streamed exclusively on YouTube. In this spin-off series, they zoom in on the relationships of the members of Trigger, how they met, and how they grew closer as an unit. It also comes up with an ending for the unresolved issue in the first season regarding the song ""Natsu Shiyouze.""","('Drama', 'Music')",5892
